ID,Price,Area,#bedroom,#bathroom,Air_conditioning,Garage_capacity,Pool,Year,Quality,Style,Lot_area,Adj_to_highway,AGE
46,177500,1820,3,2,YES,2,NO,1960,LOW,1,22104,NO,38
47,155000,1733,4,1,YES,1,NO,1936,LOW,4,22398,NO,62
48,145000,1896,3,2,NO,2,NO,1925,LOW,6,32753,NO,73
49,178000,2038,2,2,NO,2,NO,1918,LOW,7,47884,NO,80
50,156000,1436,3,2,NO,3,NO,1920,LOW,1,43594,NO,78
51,159000,1690,3,2,NO,1,NO,1922,LOW,5,28518,NO,76
52,160000,1496,2,2,NO,1,NO,1900,LOW,5,43335,NO,98
53,112000,1668,2,1,NO,1,NO,1948,LOW,1,19612,NO,50
54,84000,980,1,1,NO,1,NO,1951,LOW,1,17686,NO,47
55,155000,2562,3,2,NO,2,NO,1885,LOW,7,40800,NO,113
56,360000,2304,5,4,YES,3,NO,1978,MEDIUM,1,70240,NO,20
57,104000,1268,2,1,NO,1,NO,1947,LOW,1,21067,NO,51
58,420000,2283,3,3,YES,3,NO,1997,HIGH,1,18524,YES,1
59,355000,2060,2,3,YES,2,NO,1997,MEDIUM,1,38623,YES,1
60,165000,2087,2,2,YES,2,NO,1966,MEDIUM,1,24764,YES,32
61,244000,2081,4,2,YES,2,NO,1980,MEDIUM,3,24993,YES,18
62,179900,1696,3,3,YES,2,NO,1978,MEDIUM,2,22294,YES,20
63,253000,2222,4,2,NO,2,NO,1955,MEDIUM,1,71527,YES,43
64,200000,2110,5,3,YES,2,NO,1957,MEDIUM,1,15332,YES,41
65,200000,1774,4,2,NO,2,NO,1963,LOW,1,15528,YES,35
66,147700,1592,3,2,YES,2,NO,1957,LOW,1,11221,YES,41
67,188700,1748,3,2,YES,2,NO,1972,LOW,1,23939,YES,26
68,177000,1985,3,1,NO,2,NO,1948,LOW,1,69975,YES,50
69,585000,2558,2,4,YES,3,YES,1984,HIGH,3,24601,NO,14
70,549900,4000,6,5,YES,3,YES,1979,HIGH,10,23595,NO,19
71,675000,3942,4,3,YES,2,NO,1990,HIGH,7,18920,NO,8
72,830000,3889,4,4,YES,3,NO,1991,HIGH,7,28378,NO,7
73,920000,3857,4,5,YES,3,NO,1997,HIGH,1,32793,NO,1
74,855000,4756,4,4,YES,3,NO,1990,HIGH,7,22215,NO,8
75,585500,3302,4,3,YES,3,NO,1982,HIGH,7,26463,NO,16
76,399000,2629,3,3,YES,2,NO,1989,HIGH,9,24778,NO,9
77,790000,4418,5,5,YES,3,NO,1997,HIGH,7,22024,NO,1
78,665000,4746,4,4,YES,3,NO,1996,HIGH,7,23368,NO,2
79,725000,3242,3,3,YES,3,NO,1989,HIGH,1,27173,NO,9
80,647000,2464,3,3,YES,3,NO,1992,HIGH,1,31703,NO,6
81,780000,4419,4,5,YES,7,NO,1987,HIGH,1,56127,NO,11
82,657500,3877,3,3,YES,3,NO,1992,HIGH,7,24639,NO,6
83,578000,3808,5,4,YES,3,NO,1982,HIGH,7,23324,NO,16
84,500000,3376,5,4,YES,2,NO,1947,HIGH,7,18452,NO,51
85,484530,2940,3,3,YES,3,YES,1979,HIGH,7,20639,NO,19
86,609000,2654,5,3,YES,3,NO,1997,HIGH,1,12821,NO,1
87,635000,2672,4,3,YES,3,NO,1995,HIGH,1,28049,NO,3
88,519000,3386,4,4,YES,3,NO,1994,HIGH,7,24008,NO,4
89,625100,3648,4,4,YES,3,NO,1992,HIGH,7,26604,NO,6
90,585444,3455,4,5,YES,3,NO,1995,HIGH,7,22468,NO,3
91,399900,3321,3,4,YES,3,YES,1971,HIGH,7,15012,NO,27
92,389900,2817,4,3,YES,3,NO,1996,HIGH,7,31214,NO,2
93,649000,3210,3,5,YES,3,NO,1995,HIGH,1,30033,NO,3
94,535000,3588,4,5,YES,3,NO,1987,HIGH,7,22530,NO,11
95,640000,2705,3,3,YES,3,NO,1994,HIGH,1,22196,NO,4
96,600000,2344,4,3,YES,2,NO,1925,HIGH,1,86004,NO,73
97,582500,4264,5,4,YES,4,NO,1995,HIGH,7,24983,NO,3
98,545000,2615,3,3,YES,3,NO,1996,HIGH,1,21722,NO,2
99,480000,3608,6,4,YES,3,NO,1981,HIGH,7,25219,NO,17
100,595000,2479,4,4,YES,3,NO,1989,HIGH,1,29805,NO,9
101,610000,3251,3,4,YES,3,YES,1985,HIGH,1,25570,NO,13
102,570000,2547,2,3,YES,3,NO,1996,HIGH,1,21789,NO,2
103,479000,5032,7,3,YES,3,NO,1989,HIGH,7,22000,NO,9
104,545000,4973,6,6,YES,3,YES,1987,HIGH,7,56139,NO,11
105,335000,2582,4,3,YES,2,NO,1966,HIGH,2,23256,NO,32
106,629000,3139,6,4,YES,2,YES,1977,HIGH,1,21810,NO,21
107,505500,3516,4,4,YES,3,NO,1979,HIGH,7,19867,NO,19
108,528750,2129,0,0,YES,3,NO,1992,HIGH,1,37414,NO,6
109,370000,2936,4,4,YES,3,NO,1987,HIGH,7,16437,NO,11
110,529000,3351,5,4,YES,3,NO,1994,HIGH,7,24216,NO,4
111,490000,3136,4,4,YES,3,NO,1989,HIGH,7,27158,NO,9
112,535000,3525,4,5,YES,3,NO,1996,HIGH,7,27501,NO,2
113,612000,3917,6,5,YES,3,NO,1995,HIGH,7,37972,NO,3
114,442500,2702,4,3,YES,3,NO,1991,HIGH,1,39643,NO,7
115,500000,3644,3,4,YES,3,NO,1984,HIGH,7,21895,NO,14
116,539000,3072,4,4,YES,3,NO,1992,HIGH,1,25158,NO,6
117,545500,3233,4,4,YES,3,NO,1991,HIGH,7,22961,NO,7
118,424000,2918,4,4,YES,3,NO,1988,HIGH,7,22003,NO,10
119,325000,3266,4,3,YES,3,NO,1985,HIGH,7,16640,NO,13
120,367000,2940,4,7,YES,2,NO,1988,HIGH,7,22003,NO,10
121,470000,3430,3,4,YES,2,YES,1966,HIGH,7,25018,NO,32
122,393000,2472,4,4,YES,3,NO,1987,HIGH,1,21784,NO,11
123,530000,2878,4,4,YES,3,NO,1992,HIGH,1,68351,NO,6
124,400000,2537,3,3,YES,2,NO,1993,HIGH,1,11053,NO,5
125,403500,3858,4,4,YES,3,NO,1987,HIGH,7,22224,NO,11
126,550000,2742,3,3,YES,3,NO,1991,HIGH,1,22306,NO,7
127,380000,3460,5,4,YES,2,NO,1972,HIGH,1,18571,NO,26
128,500000,3836,5,4,YES,3,NO,1982,HIGH,5,48465,NO,16
129,465000,4453,7,5,YES,2,NO,1974,HIGH,7,15595,NO,24
130,451500,4080,5,4,YES,3,NO,1983,HIGH,7,22134,NO,15
131,336000,3301,3,4,YES,2,NO,1977,HIGH,3,18741,NO,21
132,550000,3828,4,5,YES,2,YES,1975,HIGH,1,17051,NO,23
133,450000,2973,4,3,YES,2,NO,1980,MEDIUM,7,21999,NO,18
134,440000,2821,5,4,YES,2,YES,1962,MEDIUM,1,32914,NO,36
135,515000,2950,5,3,YES,2,NO,1969,MEDIUM,1,21598,NO,29
136,415000,2362,3,3,YES,2,NO,1977,MEDIUM,3,21604,NO,21
137,380000,3092,3,4,YES,2,NO,1978,MEDIUM,3,20081,NO,20
138,489500,2866,4,4,NO,2,NO,1982,MEDIUM,7,22424,NO,16
139,478000,3369,5,4,YES,3,NO,1981,MEDIUM,7,21161,NO,17
140,460000,3068,4,4,YES,3,NO,1988,MEDIUM,7,18289,NO,10
141,379900,2380,3,3,YES,3,NO,1998,MEDIUM,1,21999,NO,0
142,390000,2225,2,3,YES,3,NO,1997,MEDIUM,1,38722,NO,1
143,338000,2655,3,3,YES,2,NO,1948,MEDIUM,1,21960,NO,50
144,675000,3855,4,4,YES,3,NO,1996,MEDIUM,7,35845,NO,2
145,440000,2892,4,4,YES,2,NO,1977,MEDIUM,6,35839,NO,21
146,500000,3832,4,3,YES,2,NO,1952,MEDIUM,1,28722,NO,46
147,470000,3164,6,4,YES,2,NO,1982,MEDIUM,7,20505,NO,16
148,317500,2620,3,2,YES,3,NO,1925,MEDIUM,7,12266,NO,73
149,430000,3076,6,4,YES,3,NO,1984,MEDIUM,7,26648,NO,14
150,430000,4022,6,4,YES,3,NO,1986,MEDIUM,7,18429,NO,12
151,475000,3377,4,3,YES,3,NO,1997,MEDIUM,7,22495,NO,1
152,389000,2858,5,4,YES,1,NO,1989,MEDIUM,7,23981,NO,9
153,400000,3540,4,4,YES,3,YES,1980,MEDIUM,7,18012,NO,18
154,395000,3045,4,3,YES,1,NO,1991,MEDIUM,7,34356,NO,7
155,395000,4150,4,3,NO,3,NO,1934,MEDIUM,7,21778,NO,64
156,296000,1778,2,2,YES,2,NO,1991,MEDIUM,7,24022,NO,7
157,387500,2412,2,3,YES,3,NO,1986,MEDIUM,3,22676,NO,12
158,353000,2668,4,3,YES,2,NO,1978,MEDIUM,2,18384,NO,20
159,350000,2274,4,3,YES,3,NO,1986,MEDIUM,1,22049,NO,12
160,437632,2936,4,3,YES,3,NO,1980,MEDIUM,5,22844,NO,18
161,447500,2526,2,2,YES,0,NO,1996,MEDIUM,1,28248,NO,2
162,318500,2449,4,4,YES,2,NO,1985,MEDIUM,3,22075,NO,13
163,352000,3131,4,4,YES,2,NO,1988,MEDIUM,7,15209,NO,10
164,295000,2536,3,3,YES,3,NO,1987,MEDIUM,7,39427,NO,11
165,313500,3314,2,3,YES,3,NO,1984,MEDIUM,7,24339,NO,14
166,330000,2230,3,2,YES,2,NO,1986,MEDIUM,1,24798,NO,12
167,400000,2631,4,4,NO,2,NO,1985,MEDIUM,7,44885,NO,13
168,325000,2638,4,3,YES,2,NO,1978,MEDIUM,3,25747,NO,20
169,340000,2756,4,3,YES,2,YES,1973,MEDIUM,7,22546,NO,25
170,399900,3262,5,4,YES,2,NO,1978,MEDIUM,7,25541,NO,20
171,249900,1936,4,4,YES,3,NO,1987,MEDIUM,3,12850,NO,11
172,389000,3148,4,4,YES,3,YES,1969,MEDIUM,7,16587,NO,29
173,364500,2616,3,4,YES,2,NO,1977,MEDIUM,7,32655,NO,21
174,357500,3630,4,3,YES,2,NO,1969,MEDIUM,7,23283,NO,29
175,295000,1954,3,3,YES,3,YES,1962,MEDIUM,3,19300,NO,36
176,274500,1926,5,3,YES,2,NO,1986,MEDIUM,7,26418,NO,12
177,259000,2556,3,2,YES,2,NO,1957,MEDIUM,1,80886,NO,41
178,415000,2282,5,4,YES,2,NO,1987,MEDIUM,3,23003,NO,11
179,443000,3314,3,4,YES,3,NO,1986,MEDIUM,7,22012,NO,12
180,249000,2001,3,3,YES,2,NO,1981,MEDIUM,3,23812,NO,17
181,330000,2607,5,2,YES,2,NO,1976,MEDIUM,3,23139,NO,22
182,291000,2840,4,4,YES,2,NO,1965,MEDIUM,7,23079,NO,33
183,418000,3036,3,5,NO,2,NO,1977,MEDIUM,7,33746,NO,21
184,320000,2240,4,2,YES,3,NO,1974,MEDIUM,3,18682,NO,24
185,264000,1788,3,3,NO,2,NO,1969,MEDIUM,1,18484,NO,29
186,381000,2620,5,4,YES,2,NO,1965,MEDIUM,7,28093,NO,33
187,250000,1480,3,3,YES,2,NO,1984,MEDIUM,3,14230,NO,14
188,360000,2588,3,3,YES,2,YES,1968,MEDIUM,2,19004,NO,30
189,369500,3138,4,4,YES,2,NO,1969,MEDIUM,7,18190,NO,29
190,285400,2460,5,4,YES,2,NO,1979,MEDIUM,7,27492,NO,19
191,409000,3566,4,4,YES,2,NO,1976,MEDIUM,7,18044,NO,22
192,333000,2692,5,4,YES,3,NO,1984,MEDIUM,7,22020,NO,14
193,362000,2958,5,4,YES,3,NO,1987,MEDIUM,7,45200,NO,11
194,387500,3164,4,4,YES,2,YES,1966,MEDIUM,7,23856,NO,32
195,239000,2058,3,3,YES,2,NO,1969,MEDIUM,2,21046,NO,29
196,299900,2717,3,4,YES,2,NO,1983,MEDIUM,7,22083,NO,15
197,335000,2920,4,3,YES,3,NO,1987,MEDIUM,7,22434,NO,11
198,275000,2554,5,3,YES,2,NO,1960,MEDIUM,7,21820,NO,38
199,328000,2805,3,4,YES,2,NO,1988,MEDIUM,7,22582,NO,10
200,333000,2736,4,3,YES,2,YES,1979,MEDIUM,7,29591,NO,19
201,397000,3516,5,7,YES,3,NO,1996,MEDIUM,7,34795,NO,2
202,374800,3536,6,4,YES,2,YES,1978,MEDIUM,7,19997,NO,20
203,520000,2138,5,3,YES,3,NO,1956,MEDIUM,1,86830,NO,42
204,325000,2718,4,4,YES,3,NO,1978,MEDIUM,6,22842,NO,20
205,295000,2178,5,3,YES,2,NO,1958,MEDIUM,1,25891,NO,40
206,415000,3152,5,4,YES,2,NO,1980,MEDIUM,6,24446,NO,18
207,224900,2611,3,3,YES,2,NO,1987,MEDIUM,7,6924,NO,11
208,265000,2060,4,3,YES,2,NO,1981,MEDIUM,2,13091,NO,17
209,299900,2448,4,4,YES,3,NO,1979,MEDIUM,7,26790,NO,19
210,390000,4050,6,5,YES,2,YES,1966,MEDIUM,7,18262,NO,32
211,271000,2414,3,3,YES,2,NO,1914,MEDIUM,7,24357,NO,84
212,330000,3072,4,3,YES,2,NO,1966,MEDIUM,7,16431,NO,32
213,350000,2525,3,3,YES,3,NO,1983,MEDIUM,4,27138,NO,15
214,310000,2866,5,3,YES,3,NO,1961,MEDIUM,7,25249,NO,37
215,340000,3246,4,4,YES,3,NO,1987,MEDIUM,7,52218,NO,11
216,307000,2707,4,4,YES,2,NO,1992,MEDIUM,7,22094,NO,6
217,304000,2300,5,3,YES,2,NO,1961,MEDIUM,3,35824,NO,37
218,275900,1860,3,3,YES,2,NO,1957,MEDIUM,1,40741,NO,41
219,315000,3636,5,3,YES,2,NO,1976,MEDIUM,7,19776,NO,22
220,295000,1910,4,3,YES,2,NO,1968,MEDIUM,1,30996,NO,30
221,251010,2280,4,2,YES,2,NO,1956,MEDIUM,1,25543,NO,42
222,335000,3386,4,5,NO,2,NO,1965,MEDIUM,7,38428,NO,33
223,343500,2324,5,4,YES,3,NO,1967,MEDIUM,3,22435,NO,31
224,297000,1970,4,3,YES,2,NO,1972,MEDIUM,3,25814,NO,26
225,281000,2062,3,3,YES,2,YES,1977,MEDIUM,2,23608,NO,21
226,235000,2617,4,3,YES,2,NO,1985,MEDIUM,7,8903,NO,13
227,237000,2612,4,3,YES,2,NO,1985,MEDIUM,7,10144,NO,13
228,274900,2472,3,3,YES,2,NO,1969,MEDIUM,7,22451,NO,29
229,229900,1922,4,2,YES,2,NO,1957,MEDIUM,1,15791,NO,41
230,259000,1852,3,2,YES,2,NO,1984,MEDIUM,3,22204,NO,14
231,245000,2239,3,3,YES,2,NO,1986,MEDIUM,3,22216,NO,12
232,208000,2068,3,2,YES,2,NO,1979,MEDIUM,1,34773,NO,19
233,421000,2101,3,3,NO,2,NO,1956,MEDIUM,1,65499,NO,42
234,320000,2200,4,3,YES,2,NO,1968,MEDIUM,1,31450,NO,30
235,256000,1972,3,3,NO,2,NO,1989,MEDIUM,3,32027,NO,9
236,275000,2007,3,3,YES,2,YES,1959,MEDIUM,3,21311,NO,39
237,222000,2612,4,3,YES,2,NO,1985,MEDIUM,7,8229,NO,13
238,249900,2124,4,1,YES,3,NO,1974,MEDIUM,2,21834,NO,24
239,273500,2612,4,3,YES,2,NO,1985,MEDIUM,7,8924,NO,13
240,218500,2548,2,2,YES,2,NO,1984,MEDIUM,3,10210,NO,14
241,377000,2767,3,3,YES,3,NO,1941,MEDIUM,4,75232,NO,57
242,220000,2025,3,3,YES,2,NO,1989,MEDIUM,3,19618,NO,9
243,192900,1956,4,2,YES,2,NO,1962,MEDIUM,2,21779,NO,36
244,298750,2460,4,3,YES,2,NO,1967,MEDIUM,3,23907,NO,31
245,315000,2764,3,3,YES,3,NO,1972,MEDIUM,7,23947,NO,26
246,315000,2004,4,3,YES,2,NO,1967,MEDIUM,3,24453,NO,31
247,465900,2852,4,3,YES,2,YES,1961,MEDIUM,7,34040,NO,37
248,239500,2096,3,3,YES,2,NO,1977,MEDIUM,1,15237,NO,21
249,276000,2330,3,3,YES,2,NO,1989,MEDIUM,7,17433,NO,9
250,226000,2520,4,3,YES,2,NO,1978,MEDIUM,7,12145,NO,20
251,235000,2528,3,3,YES,2,NO,1977,MEDIUM,3,26469,NO,21
252,247000,2030,4,3,YES,3,NO,1988,MEDIUM,3,23202,NO,10
253,182000,2208,2,2,YES,2,NO,1985,MEDIUM,7,6734,NO,13
254,180000,1500,2,1,YES,0,NO,1938,MEDIUM,3,39776,NO,60
255,249000,2078,5,3,YES,2,NO,1965,MEDIUM,1,21512,NO,33
256,260000,2442,4,3,YES,2,NO,1969,MEDIUM,2,21149,NO,29
257,219900,2612,3,3,YES,2,NO,1986,MEDIUM,7,11288,NO,12
258,295000,2268,4,3,YES,3,NO,1972,MEDIUM,2,23976,NO,26
259,290000,2734,4,3,YES,2,NO,1971,MEDIUM,7,23488,NO,27
260,300000,2228,4,3,YES,2,NO,1982,MEDIUM,3,21232,NO,16
261,354900,3000,5,4,YES,3,NO,1973,MEDIUM,7,21643,NO,25
262,261000,2404,5,3,YES,3,YES,1973,MEDIUM,2,17791,NO,25
263,174500,1840,3,2,YES,2,NO,1960,MEDIUM,1,16356,NO,38
264,244900,2107,3,2,NO,2,NO,1947,MEDIUM,6,30050,NO,51
265,274900,2788,4,3,YES,2,NO,1984,MEDIUM,7,18960,NO,14
266,214000,2416,3,3,YES,2,NO,1984,MEDIUM,3,15594,NO,14
267,283000,2430,3,4,YES,3,NO,1984,MEDIUM,6,18164,NO,14
268,177900,1584,3,2,YES,2,NO,1989,MEDIUM,2,13947,NO,9
269,237500,1873,3,3,YES,2,NO,1978,MEDIUM,3,21998,NO,20
270,202150,1644,4,3,YES,2,NO,1976,MEDIUM,2,19499,NO,22
271,235000,2400,4,3,YES,2,NO,1976,MEDIUM,7,44347,NO,22
272,217000,2094,4,3,YES,2,NO,1984,MEDIUM,3,18617,NO,14
273,285000,2561,3,3,YES,3,NO,1981,MEDIUM,7,18985,NO,17
274,217500,1752,3,2,YES,2,NO,1976,MEDIUM,2,24053,NO,22
275,210000,1738,5,3,YES,2,NO,1983,MEDIUM,3,15206,NO,15
276,183340,2068,3,2,YES,3,NO,1977,MEDIUM,1,24325,NO,21
277,252000,2428,4,3,YES,2,NO,1966,MEDIUM,7,22727,NO,32
278,237000,2090,4,2,YES,2,NO,1969,MEDIUM,1,22055,NO,29
279,205000,1820,3,2,YES,2,NO,1944,MEDIUM,2,28023,NO,54
280,285000,3219,4,4,YES,2,NO,1944,MEDIUM,6,28200,NO,54
281,210000,2654,3,5,YES,2,NO,1962,MEDIUM,1,28882,NO,36
282,280000,1802,4,3,YES,2,NO,1956,MEDIUM,1,27700,NO,42
283,207000,1765,3,2,YES,2,NO,1976,MEDIUM,2,22983,NO,22
284,221000,2786,4,3,YES,2,NO,1976,MEDIUM,7,22875,NO,22
285,257000,1794,3,2,YES,2,NO,1960,MEDIUM,3,21691,NO,38
286,274000,2768,3,3,NO,2,NO,1921,MEDIUM,7,26268,NO,77
287,262000,2288,3,2,YES,2,NO,1963,MEDIUM,3,16975,NO,35
288,204400,2028,3,2,YES,2,NO,1951,MEDIUM,1,26777,NO,47
289,254900,2620,5,3,YES,2,NO,1966,MEDIUM,7,27989,NO,32
290,244000,1644,3,3,YES,2,NO,1980,MEDIUM,2,32164,NO,18
291,213000,1888,3,2,YES,3,NO,1958,MEDIUM,1,14757,NO,40
292,240000,2116,4,3,YES,2,NO,1964,MEDIUM,7,22041,NO,34
293,235000,2313,4,3,YES,2,NO,1972,MEDIUM,7,24705,NO,26
294,206000,1824,4,2,YES,2,NO,1959,MEDIUM,1,14748,NO,39
295,237000,1942,4,3,YES,2,NO,1972,MEDIUM,2,23105,NO,26
296,274000,2184,4,3,YES,2,NO,1977,MEDIUM,3,19090,NO,21
297,275000,2578,3,3,YES,2,NO,1965,MEDIUM,7,22299,NO,33
298,218400,2036,4,3,YES,2,NO,1960,MEDIUM,7,21996,NO,38
299,156000,1384,2,1,NO,2,NO,1961,MEDIUM,1,26706,NO,37
300,220000,1826,4,3,YES,2,NO,1952,MEDIUM,1,19870,NO,46
301,171500,1681,3,2,YES,1,NO,1957,MEDIUM,1,15985,NO,41
302,180000,1726,3,2,YES,2,NO,1962,MEDIUM,1,26769,NO,36
303,204000,1910,3,2,YES,2,NO,1958,MEDIUM,3,15423,NO,40
304,307000,2664,4,3,YES,2,NO,1962,MEDIUM,7,22684,NO,36
305,265000,2116,3,3,YES,2,NO,1976,MEDIUM,2,33344,NO,22
306,209900,2030,3,3,YES,2,NO,1959,MEDIUM,1,21914,NO,39
307,173000,1940,3,2,NO,2,NO,1956,MEDIUM,3,11610,NO,42
308,189000,1676,3,3,NO,2,NO,1965,MEDIUM,3,21780,NO,33
309,222500,2120,3,2,YES,2,YES,1959,MEDIUM,1,17883,NO,39
310,265000,2152,4,3,YES,2,NO,1987,MEDIUM,1,26075,NO,11
311,264670,1984,4,3,YES,2,NO,1966,MEDIUM,1,31204,NO,32
312,200750,1575,3,3,YES,2,NO,1957,MEDIUM,1,25543,NO,41
313,227900,1798,3,3,YES,2,NO,1978,MEDIUM,2,17820,NO,20
314,255000,2017,3,1,NO,1,NO,1958,MEDIUM,3,86571,NO,40
315,208500,1904,3,3,YES,2,NO,1978,MEDIUM,2,15559,NO,20
316,226900,1718,3,3,YES,2,NO,1976,MEDIUM,2,49613,NO,22
317,215000,1776,4,2,NO,1,NO,1980,MEDIUM,2,22839,NO,18
318,222950,2609,4,3,YES,2,NO,1961,MEDIUM,1,26087,NO,37
319,239900,2226,3,3,YES,2,NO,1955,MEDIUM,2,13520,NO,43
320,176000,1556,2,1,YES,3,NO,1959,MEDIUM,3,15623,NO,39
321,228000,1764,2,2,YES,2,NO,1985,MEDIUM,3,8105,NO,13
322,204900,1626,3,3,YES,2,YES,1968,MEDIUM,2,15288,NO,30
323,258000,2012,5,3,YES,2,NO,1967,MEDIUM,2,21303,NO,31
324,241850,2090,4,4,YES,2,NO,1963,MEDIUM,7,22010,NO,35
325,198500,2192,4,2,YES,2,NO,1963,MEDIUM,2,22851,NO,35
326,243000,2228,4,4,YES,2,NO,1965,MEDIUM,7,21881,NO,33
327,187000,1825,4,2,YES,2,NO,1963,MEDIUM,2,15810,NO,35
328,233000,2132,4,3,YES,2,NO,1966,MEDIUM,2,17159,NO,32
329,205000,2160,3,2,YES,2,NO,1983,MEDIUM,7,16555,NO,15
330,205000,1974,3,2,YES,2,NO,1954,MEDIUM,1,26196,NO,44
331,189000,1696,3,3,YES,2,NO,1968,MEDIUM,1,31851,NO,30
332,204900,2132,3,3,YES,2,NO,1969,MEDIUM,7,23986,NO,29
333,239000,1814,4,3,YES,2,YES,1979,MEDIUM,2,24698,NO,19
334,193000,1796,3,2,YES,2,NO,1963,MEDIUM,2,29281,NO,35
335,260000,2268,5,3,YES,2,NO,1971,MEDIUM,3,35240,NO,27
336,188000,1719,2,3,YES,2,NO,1960,MEDIUM,1,22009,NO,38
337,190500,1704,3,2,YES,2,NO,1984,MEDIUM,3,22583,NO,14
338,230000,2142,3,2,YES,2,NO,1959,MEDIUM,1,22223,NO,39
339,240000,1705,4,2,YES,2,NO,1972,MEDIUM,1,42322,NO,26
340,235000,1752,4,3,YES,2,NO,1978,MEDIUM,2,39267,NO,20
341,275000,2554,5,3,YES,2,YES,1966,MEDIUM,7,22381,NO,32
342,205000,1650,3,2,YES,2,NO,1965,MEDIUM,3,27235,NO,33
343,280000,2816,5,3,YES,2,NO,1946,MEDIUM,5,29109,NO,52
344,190000,1919,3,4,YES,2,NO,1938,MEDIUM,7,20093,NO,60
345,232500,2080,3,2,YES,2,NO,1968,MEDIUM,1,32021,NO,30
346,259500,2108,4,4,YES,2,NO,1978,MEDIUM,7,24685,NO,20
347,275000,2480,3,3,YES,2,NO,1964,MEDIUM,1,22144,NO,34
348,183900,1746,3,2,YES,2,NO,1974,MEDIUM,2,52136,NO,24
349,290000,2703,3,3,NO,4,NO,1963,MEDIUM,1,43599,NO,35
350,217950,1640,4,2,YES,2,NO,1979,MEDIUM,3,21314,NO,19
351,220000,2196,4,3,YES,2,NO,1972,MEDIUM,7,17899,NO,26
